subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail	SRLM	Cyst
sub-6653277	L	4.677773435600102	227.5419679647312	314.774574724026	405.08755012694746	94.69987811520696	373.3254208154976	293.21199421864003	436.534966852516	11.367800071835518
sub-6653277	R	0.4911423688754439	228.12370941136032	279.18821065686643	467.3768002688885	158.6485218917951	305.461943205446	254.91719456389544	450.77332717739046	16.560557738877833
sub-6405157	L	5.311960236169398	253.09058658452705	262.09326246054843	449.2039623414166	119.60016754362732	346.47904369886965	204.72027721675116	419.44458726607263	5.874627478420734
sub-6405157	R	0.2717968882061541	222.3393912855536	265.66000057244673	307.03034797729924	251.2738389633596	256.15664621815085	95.37209756160156	369.23845681129023	0.0
sub-6570677	L	7.929798068944365	249.66227738652375	319.9766504019499	634.8606824409217	82.08270833361894	539.7174107213505	217.776192186866	622.3341764113866	23.331630758475512
sub-6570677	R	0.0953673850744962	276.741846378427	337.2619889467024	554.5947227929719	128.90332603594288	513.0908368085511	201.5065162931569	604.8533347272314	27.61839471757412
sub-6086470	L	4.72068187315017	277.1469412436709	384.9263072828762	557.1453650733456	96.00150318397208	476.7221120707691	390.9725947729312	567.0492602759041	21.605464209336787
sub-6086470	R	0.2241131798364222	263.3902066941373	402.020897702314	513.2477920185775	156.7218698230572	529.6462010708638	352.2773085096851	570.6636813464575	29.7307590697892
sub-7495593	L	4.091259221546352	332.0738734821789	353.12144714640453	421.504603901878	85.38715487206355	507.57363531086594	296.6687456034124	542.5877570635639	7.057183738797903
sub-7495593	R	0.0905989804305136	316.86754987202585	337.64332659495994	516.7098272321746	151.2144667059183	488.83871983131394	278.3963617607951	565.0801460472867	15.501962388399988
sub-9481794	L	2.632140085101128	178.76618077978492	233.4832233097404	339.0787707455456	69.68495507910848	324.86902898177505	168.77167784795165	355.8634321577847	9.07420757599175
sub-9481794	R	0.0	113.87820563837886	153.27447625994682	365.2046684380621	137.85356858745217	182.32815296016636	48.2702066693455	244.3026542030275	14.352792855352163
sub-8253978	L	3.752712832763791	166.97426336072385	223.4843012019992	513.744956292212	180.64996908418837	380.4115938656032	102.4199732337147	386.9585757199675	0.0
sub-8253978	R	0.2145769726485014	203.80520862154663	237.02172398753464	303.9077505506575	231.30443976074457	300.96566183678806	196.447602648288	355.1248897332698	1.626016614958644
sub-9882308	L	2.551079294644296	286.1738763889298	206.9759773146361	469.2221604315564	90.84226475190373	485.1389878811314	120.28219664935024	470.96261639893055	23.41270904056728
sub-9882308	R	0.3433228209614754	251.083423063159	263.20939436461776	497.5272196708247	188.2458100821823	530.8390700491145	219.6169328475371	524.8547625448555	52.3042780989781
sub-6954998	L	8.788113116752356	218.3867567195557	271.5255155763589	334.5395768014714	128.173890709877	497.43676632642746	251.75583734409884	444.2550921044312	0.5054476344957948
sub-6954998	R	0.944138034246862	218.01005518063903	292.51112915575504	520.8590189740062	167.97550773946568	393.16673402907327	286.2454858375713	519.4523486704566	9.002689942717552
sub-8796916	L	5.779267486184835	187.47810210753232	222.9738670969382	294.6234324825928	90.35589075554162	244.60320481751117	60.76813931018114	319.9244170384481	0.1668930379673838
sub-8796916	R	0.0572204701602458	206.58973914105445	245.0752736963332	305.852949751541	146.0409449664876	370.2593572894111	208.97392539773136	405.48332504555583	8.978845442645252
sub-9369902	L	4.162790830247104	257.18227196950465	345.7691311268136	487.900066152215	98.09499766305088	404.47735644411296	272.2169563770294	496.2924050539732	1.9645702429115768
sub-9369902	R	0.1573563544079661	256.9676951225847	334.1962865162641	470.6337825367227	165.0191320301965	386.28600819967687	211.7873479099944	471.5397736681625	5.679133881814778
sub-8502872	L	6.728178215678781	273.95749328518286	262.99022900732234	398.2928915657103	107.63654632354157	428.7198973731138	285.039198581595	450.14420972112566	50.02503023436293
sub-8502872	R	0.1335145216435194	265.71297157369554	278.91183571331203	407.36711066169664	146.64662852231413	400.4338922877796	230.40314897475764	438.8097805087455	45.64766127476469
sub-9589815	L	6.194127992726862	226.879607308656	309.8971349094063	386.8826594995335	87.17078817170113	405.88466107845306	266.2330625234172	431.2476840140298	7.810609431937337
sub-9589815	R	0.3385551096871495	216.16505334433168	318.7091045249253	382.93920772895217	137.31985984183848	380.8601932525635	239.0771280210465	417.4003031896427	5.369197936728597
sub-6937998	L	4.673009626567364	305.7864911556244	407.7391634266824	699.0059460997581	108.81436701864004	605.960602382198	374.5083429291845	669.2608093135059	54.59791859611869
sub-6937998	R	0.7963189873844385	321.2503383178264	445.4141114465892	641.7281995341182	164.63775854744017	614.4769240077585	368.83397409692407	674.6061601210386	90.84235346503556
sub-8065270	L	3.9243705784901977	229.2728871870786	323.09538475982845	501.5231158370152	88.20535475201905	405.73128041625023	269.39874188695103	479.4217092376202	43.71167082991451
sub-8065270	R	0.0	197.0625308593735	321.0354478340596	549.6979833394289	197.3152546025813	382.82401886209846	262.1222054315731	456.7290244465694	73.47585205826908
sub-9157179	L	4.611020723357797	222.077629936859	322.6093258112669	546.6038433704525	78.29675313085318	412.3835627902299	304.37505151331425	513.5160741880536	12.211813932284713
sub-9157179	R	0.1001359205693006	192.75211034156385	315.2803301010281	487.118338175118	136.88103504106402	407.8917514961213	250.23966550268236	480.1231288667768	6.289489487186074
sub-7627786	L	3.242491725832224	276.64176465570927	387.7877052989789	510.12977913673967	89.38309911871329	457.2819323758594	314.4692453336902	547.5328748682514	5.149839799851179
sub-7627786	R	0.2765654707327485	252.24201441882175	403.7379035679624	491.9622887317091	127.82569955056532	457.4965090341866	339.96095234295353	549.7692404850386	10.838505430612711
sub-9460079	L	5.05923829600215	190.48675914108756	252.79502192512155	457.8109979256988	87.16099605336785	459.5848307684064	193.78170133009556	443.0481310412288	28.085686676204205
sub-9460079	R	0.0	179.10466506704688	255.56544364988804	405.8596301265061	148.22471482679248	386.7146331816912	221.52883388847115	446.80560491234064	19.24513266980648
sub-8913388	L	7.977471633814275	345.08644479326904	479.3111005136743	710.2667721118778	101.27049764432012	497.4594908533618	406.7223075181246	685.0325940568	19.9031479973346
sub-8913388	R	0.4720679568126797	355.2669002255425	476.1973593439907	706.8526240605861	140.04682718776166	476.2593480655924	392.7176247993484	715.2544800192118	20.084345798939463
sub-8623581	L	8.721360992174596	241.580268970225	285.4541030265391	663.2001371649094	104.2510198862292	427.4277510205284	279.1073936331086	551.0669905864634	17.638225429225713
sub-8623581	R	0.0	175.14724472584203	210.6478092893958	798.7364766080864	238.45221385220063	382.4047381784767	287.3948323451914	573.4068354461342	31.275782803539187
sub-6604264	L	4.124640612863004	222.78781354241076	335.9984695315361	479.0114420875907	82.5548010757193	416.4170405557379	305.08989097364247	524.8593258941546	2.908706096932292
sub-6604264	R	0.0	206.81854023318735	346.07403671648353	623.2832644954324	146.74183840490878	348.39623322337866	327.4106339896098	560.9654284613207	11.386869113892317
sub-7131454	L	4.091265614144504	230.94193033128977	345.43061027955264	547.647850564681	89.31166078429669	426.3785415915772	320.1343817445449	524.9027025699615	13.771066542714834
sub-7131454	R	0.0047683748416602	218.63475486496463	348.7017154209316	533.7337327767164	136.1323333545588	396.9433636940085	235.3192984359339	509.6725133256987	12.841233448591083
sub-7243263	L	5.908011236228049	303.20638456661254	396.44233589991927	501.1128400536254	86.57930590491742	393.271369417198	330.1810573376715	547.2468260992318	10.204313192516564
